Date : 2024-11-14 19:40:43
Directory : /home/patate/Prog/CPP/KDevelopProjects/Snake/common/
Total : 161 files,  -137606 codes, -30198 comments, -25030 blanks, all -192834 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Shell Script |          1 |        -13 |         -4 |         -5 |        -22 |
| Python       |          1 |        -22 |         -4 |         -7 |        -33 |
| HTML         |          1 |       -281 |         -4 |        -43 |       -328 |
| YAML         |          4 |       -310 |         -2 |        -24 |       -336 |
| Makefile     |          1 |       -411 |       -200 |        -67 |       -678 |
| Markdown     |          9 |       -837 |          0 |       -279 |     -1,116 |
| CMake        |         23 |       -958 |       -250 |       -258 |     -1,466 |
| Objective-C  |          5 |     -2,901 |       -337 |       -702 |     -3,940 |
| C            |         43 |    -32,147 |     -4,912 |     -6,618 |    -43,677 |
| C++          |         73 |    -99,726 |    -24,485 |    -17,027 |   -141,238 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        161 |   -137,606 |    -30,198 |    -25,030 |   -192,834 |
| ..                                                                                                                      |        161 |   -137,606 |    -30,198 |    -25,030 |   -192,834 |
| .. (Files)                                                                                                              |          3 |        -52 |        -90 |        -47 |       -189 |
| ../libs                                                                                                                 |        158 |   -137,554 |    -30,108 |    -24,983 |   -192,645 |
| ../libs/raylib                                                                                                          |        158 |   -137,554 |    -30,108 |    -24,983 |   -192,645 |
| ../libs/raylib (Files)                                                                                                  |          9 |       -711 |         -4 |       -244 |       -959 |
| ../libs/raylib/cmake                                                                                                    |         10 |       -164 |        -50 |        -41 |       -255 |
| ../libs/raylib/src                                                                                                      |        139 |   -136,679 |    -30,054 |    -24,698 |   -191,431 |
| ../libs/raylib/src (Files)                                                                                              |         23 |    -23,399 |     -5,580 |     -5,566 |    -34,545 |
| ../libs/raylib/src/external                                                                                             |        116 |   -113,280 |    -24,474 |    -19,132 |   -156,886 |
| ../libs/raylib/src/external (Files)                                                                                     |         19 |    -72,899 |    -13,881 |    -13,045 |    -99,825 |
| ../libs/raylib/src/external/ANGLE                                                                                       |         11 |     -3,845 |       -920 |       -596 |     -5,361 |
| ../libs/raylib/src/external/ANGLE (Files)                                                                               |          1 |         -6 |        -39 |         -7 |        -52 |
| ../libs/raylib/src/external/ANGLE/EGL                                                                                   |          3 |       -965 |       -143 |       -134 |     -1,242 |
| ../libs/raylib/src/external/ANGLE/GLES2                                                                                 |          3 |     -1,877 |       -449 |       -340 |     -2,666 |
| ../libs/raylib/src/external/ANGLE/GLES3                                                                                 |          3 |       -898 |       -133 |        -87 |     -1,118 |
| ../libs/raylib/src/external/ANGLE/KHR                                                                                   |          1 |        -99 |       -156 |        -28 |       -283 |
| ../libs/raylib/src/external/android                                                                                     |          2 |       -437 |       -242 |       -119 |       -798 |
| ../libs/raylib/src/external/android/native_app_glue                                                                     |          2 |       -437 |       -242 |       -119 |       -798 |
| ../libs/raylib/src/external/glfw                                                                                        |         84 |    -36,099 |     -9,431 |     -5,372 |    -50,902 |
| ../libs/raylib/src/external/glfw (Files)                                                                                |          5 |       -713 |        -57 |       -132 |       -902 |
| ../libs/raylib/src/external/glfw/CMake                                                                                  |          9 |       -118 |        -31 |        -40 |       -189 |
| ../libs/raylib/src/external/glfw/CMake (Files)                                                                          |          5 |        -63 |        -10 |        -17 |        -90 |
| ../libs/raylib/src/external/glfw/CMake/modules                                                                          |          4 |        -55 |        -21 |        -23 |        -99 |
| ../libs/raylib/src/external/glfw/deps                                                                                   |         12 |    -12,206 |       -694 |       -547 |    -13,447 |
| ../libs/raylib/src/external/glfw/deps (Files)                                                                           |          4 |     -2,419 |       -114 |       -142 |     -2,675 |
| ../libs/raylib/src/external/glfw/deps/glad                                                                              |          4 |     -7,315 |       -252 |       -131 |     -7,698 |
| ../libs/raylib/src/external/glfw/deps/mingw                                                                             |          3 |     -2,320 |       -273 |       -233 |     -2,826 |
| ../libs/raylib/src/external/glfw/deps/vs2008                                                                            |          1 |       -152 |        -55 |        -41 |       -248 |
| ../libs/raylib/src/external/glfw/include                                                                                |          2 |       -669 |     -5,556 |       -281 |     -6,506 |
| ../libs/raylib/src/external/glfw/include/GLFW                                                                           |          2 |       -669 |     -5,556 |       -281 |     -6,506 |
| ../libs/raylib/src/external/glfw/src                                                                                    |         56 |    -22,393 |     -3,093 |     -4,372 |    -29,858 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                | language     | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/patate/Prog/CPP/KDevelopProjects/Snake/CMakeLists.txt                                                             | CMake        |        -12 |        -86 |        -30 |       -128 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/README.md                                                                  | Markdown     |        -18 |          0 |        -10 |        -28 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/check_submodule.py                                                         | Python       |        -22 |         -4 |         -7 |        -33 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/.travis.yml                                                    | YAML         |       -156 |         -1 |        -10 |       -167 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/BINDINGS.md                                                    | Markdown     |        -70 |          0 |         -6 |        -76 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/CMakeLists.txt                                                 | CMake        |        -42 |         -2 |        -11 |        -55 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/CONTRIBUTING.md                                                | Markdown     |       -109 |          0 |        -28 |       -137 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/HISTORY.md                                                     | Markdown     |       -136 |          0 |       -121 |       -257 |
